brand,model,modification,cylinders,powerHp,engineVolume,transmissionType,transmissionSpeeds,baseCityNorm,baseHighwayNorm,fuelType,vehicleType,baseCombinedNorm,testCycle,normSource,sourceRef,publicTime,energyType,driveType,aliasCn,brandCn,region,phaseLow,phaseMid,phaseHigh,phaseExtra,electricKwh,co2,drivingRange,mass
Mercedes-Benz,Sprinter 524,19 мест,6V,258.0,3.498,AT,5,19.0,17.1,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,Vito 111 CDI,7 мест,4L,109.0,2.148,MT,6,10.9,9.3,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,Vito 115 2.2CDi,9 мест,4L,150.0,2.148,AT,5,11.1,9.4,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,Vito 126 3.5,6 мест,6V,258.0,3.498,AT,5,13.4,12.1,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mercedes-Benz,Vito109 CDI,7 мест,4L,88.0,2.148,MT,6,9.8,8.3,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mitsubishi,Fuso 4.2D,25 мест,6L,130.0,4.214,MT,5,18.6,15.8,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Mitsubishi,Rosa 4,29 мест,4L,130.0,4.214,MT,5,17.6,15.0,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Peugeot,Boxer 2.2D,8 мест,4L,100.0,2.198,MT,5,9.7,8.2,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Peugeot,Boxer 2227SK 2.2 TD,17 мест,4L,120.0,2.198,MT,6,11.9,10.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Renault,Trafic 2.0,8 мест,4L,120.0,1.998,MT,6,11.2,10.1,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Renault,Trafic 2.0,8 мест,4L,116.0,1.998,MT,6,11.6,10.4,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
